date,open,high,low,close,volume
2025-07-14,41.815000,42.467600,41.275000,42.305000,97311478
2025-07-15,43.215000,43.335000,42.400000,42.415000,123257536
2025-07-16,42.530000,42.675000,41.220000,42.535000,166357634
2025-07-17,42.685000,43.660000,42.500000,43.525000,97330852
2025-07-18,43.820000,43.870000,43.095000,43.375000,98496256
2025-07-21,43.575000,44.490000,43.560000,44.035000,87720302
2025-07-22,44.065000,44.080000,42.732500,43.350000,108345276
2025-07-23,43.590000,43.940000,42.950000,43.920000,118025230
2025-07-24,44.225000,44.480000,43.800000,44.210000,90378270
2025-07-25,44.155000,44.790000,43.990000,44.460000,79003182
2025-07-28,44.795000,45.095000,44.590000,44.892500,95591984
2025-07-29,45.495000,45.812500,44.490000,44.690000,116251158
2025-07-30,44.870000,45.440000,44.130000,44.845000,145527628
2025-07-31,46.355000,46.375000,43.830000,44.105000,178874656
2025-08-01,42.625000,42.660000,40.930000,41.460000,219781216
2025-08-04,42.610000,43.784950,42.580000,43.730000,108585948
2025-08-05,44.025000,44.305000,42.710000,42.820000,152088324
2025-08-06,43.015000,44.532750,42.905000,44.420000,128995266
2025-08-07,45.445000,45.835000,43.907500,44.870000,169239148
2025-08-08,45.120000,46.140000,45.050600,46.080000,104522674
2025-08-11,46.115000,46.620000,45.357500,45.675000,94616990
2025-08-12,46.210000,47.444950,45.565000,47.360000,120277962
2025-08-13,48.025000,48.160000,47.087500,47.430000,96058510
2025-08-14,46.920000,47.793900,46.820000,47.300000,106385750
2025-08-15,47.235000,47.255000,46.209700,46.630000,96167398
2025-08-18,46.400000,46.727500,46.115000,46.570000,73371354
2025-08-19,46.385000,46.430000,44.411900,44.670000,111118642
2025-08-20,44.415000,44.445000,42.190000,43.855000,164404258
2025-08-21,43.475000,43.975000,42.695000,43.245000,119919942
2025-08-22,43.510000,45.660000,43.185000,45.190000,132726482
2025-08-25,44.810000,45.490000,44.515000,44.795000,80452568
2025-08-26,44.655000,45.385000,44.417500,45.315000,84374598
2025-08-27,45.070000,45.720000,44.770000,45.520000,90055180
2025-08-28,45.640000,46.555000,45.255000,46.350000,90657998
2025-08-29,45.707500,45.795000,44.245000,44.680000,121887006
2025-09-02,42.555000,43.620000,42.125000,43.540000,166668070
2025-09-03,44.365000,44.937500,43.794950,44.555000,119929802
2025-09-04,44.700000,45.832300,44.307500,45.760000,101759684
2025-09-05,46.970000,47.120000,44.843600,45.910000,172625734
2025-09-08,46.455000,47.047550,46.320000,46.565000,101696744
2025-09-09,46.750000,47.055000,46.121750,46.945000,94620748
2025-09-10,47.725000,47.730000,46.470000,46.995000,120818810
2025-09-11,47.595000,47.990000,47.205000,47.785000,91247130
2025-09-12,47.980000,48.684950,47.762500,48.380000,92235236
2025-09-15,48.820000,49.635000,48.782500,49.615000,78114352
2025-09-16,49.835000,49.905000,49.305000,49.480000,77137148
2025-09-17,49.445000,49.600000,47.755500,49.165000,147697142
2025-09-18,50.380000,51.185000,49.895000,50.490000,123401564
2025-09-19,50.940000,51.645000,50.575000,51.490000,84365388
2025-09-22,51.210000,52.537850,51.210000,52.360000,81054580
2025-09-23,52.395000,52.450000,50.990000,51.305000,99930552
2025-09-24,51.605000,51.680000,49.995000,50.705000,101055614
2025-09-25,49.700000,50.435000,48.749900,50.025000,122820590
2025-09-26,50.200000,50.690000,49.370000,50.625000,124097356
2025-09-29,51.392500,52.140000,50.970000,51.300000,92393106
2025-09-30,51.205000,51.785000,50.610000,51.700000,92323854
